226  = 29895
150  = 207112
293  = 21979
93  = 74429
215  = 30212
154  = 82094
161  = 21074
71 123  = 20961
106  = 14167
125  = 21328
151  = 6895
79 76 71 71 123 123 123 103 109 125  = 7852
150 112  = 21922
103  = 16086
91  = 27037
274  = 104666
138  = 7264
146  = 22235
105  = 11815
150 274 160 89  = 25533
51  = 320
244  = 1546
274 274 274 274  = 1628
95  = 273
244 24 25 21 25 244 25  = 1428
299  = 25979
144  = 11116
79  = 963
307  = 23679
150 150 150  = 1878
165 79 76 103 123 123 106  = 1081
79 76  = 3094
71  = 6033
238 240  = 26444
150 150 150 150 150 150 150 150  = 1487
78  = 4902
215 215  = 3020
160  = 1168
274 274  = 10756
116  = 12928
275  = 11580
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 578
214  = 12646
158  = 17354
150 274  = 12706
271 271 271  = 105
102  = 21582
92  = 6496
150 150 150 150 150 150 150 150 150 150 150  = 483
160 89 165 79 76  = 4200
165 79 76 71 71 123 123 123 103 109 125  = 13254
140  = 8165
50  = 21227
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 1428
116 121 116 121 116 121 116 121 116  = 974
71 123 71 123 123 123 71 123 71 123 123 123  = 4532
156  = 262
71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71  = 9
73  = 3040
71 123 71 123 123 123  = 1805
123  = 7580
20  = 14
130  = 1669
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 3808
165 79 76 103 71 123  = 1649
274 209  = 162
150 274 103 109  = 65
150 150  = 2704
150 150 150 150 150  = 1058
122  = 1805
158 138 79 75  = 7201
168  = 179
226 226  = 610
0  = 1308
143  = 393
26  = 21516
215 215 215 215 215  = 697
121 114 115  = 2979
37 21 21 21 0 21 24 25 42 42  = 1547
163  = 250
303  = 508
149  = 3150
165 79 76 125  = 92
111  = 2773
303 79  = 1525
37 21 21 0 42 42  = 337
71 123 123 71 123 103 125 150 274  = 495
215 215 215 215 215 215  = 458
244 24 25 244 25 0  = 116
215 215 215  = 1644
24  = 1938
279  = 4180
289 290  = 2941
98  = 4784
105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 121  = 168
150 274 71 123 123 71 123 103 125  = 4234
123 123 123 123 123  = 48
112  = 1108
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 1089
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 938
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 166
150 150 150 150 150 150 150  = 1079
244 24 25 21 25 244 25 21 25 0  = 18
244 24 25 244 25  = 433
150 150 150 150 150 150 150 150 150  = 2338
69  = 53
215 215 215 215  = 1048
157  = 5120
274 274 274 274 274  = 2264
105 105 121  = 1077
37 21 21 21 0 21 24 25 42  = 1342
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 1209
24 25  = 207
219 121 114 115  = 898
219 121 114 115 219 121 114 115 219 121 114 115  = 206
120  = 1666
139  = 157
150 73 71 92 107  = 2499
116 121 116  = 1073
24 25 42 21 24 25 21 24 25 42  = 49
158 138 137  = 314
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 1764
21 0 24 25 24 25 24 25  = 4
150 150 150 150 150 150 150 150 150 150  = 2796
79 76 103 71 123  = 444
37 21 21 21 0 21 0 42 42  = 202
73 73  = 856
37 21 21 21 0 21 0 42  = 122
37 21 21 21 0 42 42  = 385
68  = 724
219 121 114 115 219 150 121 114 115  = 23
211  = 1623
154 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123  = 427
150 274 219  = 729
226 226 226  = 249
0 0 21  = 12
165 79 76 103  = 385
145  = 1729
